Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
62,Exit short,2025-08-13 11:00:00,SL,120221.1,0.13646,16255.224368000001,-163.21,-1,0,0,-156.65,-0.96,-3833.52,-38.34
62,Entry short,2025-08-13 07:15:00,Short,119120.8,0.13646,16255.224368000001,-163.21,-1,0,0,-156.65,-0.96,-3833.52,-38.34
63,Exit long,2025-08-13 16:15:00,BE,120455.7,0.194679,23430.299026499997,1.14,0,353.67,1.51,-65.32,-0.28,-3841.75,-38.42
63,Entry long,2025-08-13 11:15:00,Long,120353.5,0.194679,23430.299026499997,1.14,0,353.67,1.51,-65.32,-0.28,-3841.75,-38.42
64,Exit long,2025-08-13 16:15:00,BE,120455.7,0.19468,23430.41938,1.14,0,353.67,1.51,-65.32,-0.28,-3831.23,-38.31
64,Entry long,2025-08-13 11:15:00,Long,120353.5,0.19468,23430.41938,1.14,0,353.67,1.51,-65.32,-0.28,-3831.23,-38.31
65,Exit short,2025-08-14 13:30:00,TRAIL,119479,0.211059,25667.286002099998,429.81,1.67,876.58,3.41,-109.4,-0.43,-3401.42,-34.01
65,Entry short,2025-08-14 07:15:00,Short,121611.9,0.211059,25667.286002099998,429.81,1.67,876.58,3.41,-109.4,-0.43,-3401.42,-34.01
66,Exit long,2025-08-17 17:45:00,BE,117777,0.21234,25000.104708,-11.34,-0.05,164.5,0.66,-10.11,-0.04,-3422.76,-34.23
66,Entry long,2025-08-17 05:30:00,Long,117736.2,0.21234,25000.104708,-11.34,-0.05,164.5,0.66,-10.11,-0.04,-3422.76,-34.23
67,Exit long,2025-08-17 17:45:00,BE,117777,0.21234,25000.104708,-11.34,-0.05,164.5,0.66,-10.11,-0.04,-3424.1,-34.24
